Year,Month,Outage Hour,Week Day,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2022,9,19,3,9/13/2022,7:55:00 PM,9/13/2022,8:01:00 PM,0.1,Texas: El Paso County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,0,0
2022,9,19,5,9/15/2022,7:52:00 PM,9/15/2022,9:31:00 PM,1.65,Texas: Fayette County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2022,9,16,4,9/21/2022,4:19:00 PM,9/21/2022,6:01:00 PM,1.7,Texas: Louisiana: Arkansas: Jefferson County; Mississippi:,TRE/SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,1521
2022,10,15,2,10/10/2022,3:50:00 PM,10/10/2022,4:05:00 PM,0.25,Texas: Louisiana: Arkansas: Pope County; Mississippi:,TRE/SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,0
2022,10,13,6,10/14/2022,1:30:00 PM,Unknown ,Unknown,N/A,Texas: Bee County;,RE ,Reportable Cyber Security Incident,Cyber Event,0,0
2022,10,15,3,10/18/2022,3:12:00 PM,Unknown ,Unknown,N/A,Texas: Louisiana: Arkansas: Pope County; Mississippi:,TRE/SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,Unknown
2022,10,16,2,10/24/2022,4:29:00 PM,10/24/2022,6:05:00 PM,1.6,Texas: New Mexico: Chaves County;,TRE/WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,34,7551
2022,10,1,3,10/25/2022,1:45:00 AM,10/25/2022,1:50:00 PM,12.08,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",System Operations,Unknown,109865
2022,10,19,4,10/26/2022,7:32:00 PM,10/26/2022,8:38:00 PM,1.1,Texas:,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2022,11,15,4,11/2/2022,3:11:00 PM,11/2/2022,3:25:00 PM,0.23,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2022,11,15,3,11/8/2022,3:48:00 PM,11/8/2022,4:21:00 PM,0.55,Texas: Hockley County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2022,11,7,4,11/23/2022,7:03:00 AM,11/23/2022,8:57:00 AM,1.9,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2022,12,19,7,12/17/2022,7:45:00 PM,12/17/2022,7:46:00 PM,0.02,Texas: Kaufman County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2022,12,21,5,12/22/2022,9:04:00 PM,12/22/2022,9:42:00 PM,0.63,Texas: Montgomery County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2022,12,6,6,12/23/2022,6:04:00 AM,12/23/2022,6:40:00 AM,0.6,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,1,16,2,1/2/2023,4:12:00 PM,1/3/2023,9:30:00 AM,17.3,Texas: Dallas County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,1,23,7,1/7/2023,11:44:00 PM,1/8/2023,2:29:00 AM,2.75,"Texas: Jasper County, Tyler County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,20,9823
2023,1,18,1,1/8/2023,6:40:00 PM,1/8/2023,6:54:00 PM,0.23,Texas: Bowie County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,1,0,6,1/13/2023,12:00:00 AM,1/13/2023,1:00,1,Texas: Fayette County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,1,15,3,1/24/2023,3:25:00 PM,1/26/2023,8:20:00 PM,52.92,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,100731
2023,1,15,4,1/25/2023,3:57:00 PM,1/25/2023,5:38:00 PM,1.68,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,1,3,4,1/25/2023,3:30:00 AM,1/25/2023,1:00:00 PM,9.5,Arkansas: Texas: Louisiana: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,60958
2023,1,8,3,1/31/2023,8:15:00 AM,2/6/2023,5:00:00 PM,152.75,"Texas: Dallas County, Anderson County, Bosque County, Collin County, Comanche County, Cooke County, Delta County, Denton County, Ellis County, Erath County, Fannin County, Freestone County, Hamilton County, Henderson County, Hill County, Hood County, Hopkins County, Hunt County, Jack County, Johnson County, Kaufman County, Lamar County, Navarro County, Palo Pinto County, Parker County, Rains County, Red River County, Rockwall County, Somervell County, Tarrant County, Van Zandt County, Wichita County, Wise County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,360000
2023,2,5,4,2/1/2023,5:00:00 AM,2/4/2023,10:39:00 PM,89.65,Texas: Travis County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,370,173879
2023,2,8,5,2/2/2023,8:15:00 AM,2/2/2023,7:45:00 PM,11.5,Arkansas: Mississippi: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,74426
2023,2,11,7,2/11/2023,11:17:00 AM,2/11/2023,6:20:00 PM,7.05,Texas: Taylor County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2023,2,9,3,2/21/2023,9:45:00 AM,Unknown,Unknown,N/A,Texas: Cameron County;,TRE,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,0,0
