Year,Month,Outage Hour,Week Day,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2013,12,11,6,12/13/2013,11:00:00 AM,12/27/2013,11:00:00 AM,336,Texas,TE,,Fuel Supply Emergencies (Coal),Unknown,Unknown
2014,1,7,2,1/6/2014,7:01:00 AM,1/7/2014,9:00:00 AM,25.98,Texas,TRE,,Public Appeal due to Severe Weather - Cold,N/A,N/A
2014,1,9,7,1/18/2014,9:00:00 AM,1/18/2014,9:45:00 AM,0.75,Texas,TRE,,Public Appeal to Reduce Electricity Usage,Unknown,Unknown
2014,2,13,5,2/6/2014,1:58:00 PM,2/6/2014,8:40:00 PM,6.7,Rio Grande Valley Texas,TRE,,Public Appeal to Reduce Electricity Usage,Unknown,Unknown
2014,2,15,5,2/6/2014,3:35:00 PM,2/7/2014,11:30:00 AM,19.92,ERCOT Region Texas,TRE,,Public Appeal to Reduce Electricity Usage,Unknown,Unknown
2014,2,16,6,2/7/2014,4:30:00 PM,2/8/2014,9:00:00 AM,16.5,ERCOT Region Texas,TRE,,Public Appeal to Reduce Electricity Usage,Unknown,Unknown
2014,2,16,6,2/7/2014,4:50:00 PM,2/7/2014,8:30:00 PM,3.67,Texas,TRE,,Public Appeal to Reduce Electricity Usage,Unknown,Unknown
2014,3,19,1,3/2/2014,7:00:00 PM,3/4/2014,9:00:00 AM,38,ERCOT Region Texas,TRE,,Public Appeal due to Severe Weather - Cold,N/A,N/A
2014,4,0,5,4/3/2014,12:00:00 AM,Unknown,Unknown,N/A,Texas,TRE,,Fuel Supply Emergency - Coal,Unknown,Unknown
2014,6,1,3,6/3/2014,1:38:00 AM,6/3/2014,1:43:00 AM,0.08,Texas,ERCOT,,Physical Attack - Vandalism,Unknown,Unknown
2014,6,13,6,6/6/2014,1:00:00 PM,Unknown,Unknown,N/A,Texas,ERCOT,,Fuel Supply Emergency - Coal,Unknown,Unknown
2014,6,9,5,6/12/2014,9:10:00 AM,6/12/2014,9:11:00 AM,0.02,"Somervell County, Texas",ERCOT,,Suspected Physical Attack,Unknown,Unknown
2014,10,16,5,10/2/2014,4:00:00 PM,10/7/2014,10:00:00 AM,114,Texas,TRE,,Severe Weather - Thunderstorms,Unknown,500000
2014,10,10,2,10/6/2014,10:52:00 AM,10/7/2014,12:52:00 AM,14,"Houston, Texas",TRE,,Severe Weather - Thunderstorms,292,129237
2014,10,16,4,10/8/2014,4:47:00 PM,10/8/2014,6:29:00 PM,1.7,Rio Grande Valley Texas,TRE,,Public Appeal to Reduce Electricity Usage; Load Shed of 100 MW,Unknown,Unknown
2014,10,16,4,10/8/2014,4:49:00 PM,10/8/2014,6:23:00 PM,1.57,Rio Grande Valley Texas,TRE,,Public Appeal to Reduce Electricity Usage; Load Shed of 100 MW,585,120000
2014,10,9,5,10/9/2014,9:27:00 AM,Unknown,Unknown,N/A,Rio Grande Valley Texas,TRE,,Public Appeal to Reduce Electricity Usage,Unknown,2800
2014,10,0,2,10/20/2014,12:00:00 AM,Unknown,Unknown,N/A,"Howard County, Texas",MRO,,Suspected Physical Attack - Vandalism,Unknown,Unknown
2014,10,16,6,10/24/2014,4:00:00 PM,10/24/2014,5:50:00 PM,1.83,"Howard County, Texas",MRO,,Suspected Physical Attack - Vandalism,Unknown,Unknown
2014,11,7,5,11/13/2014,7:07:00 AM,11/13/2014,7:08:00 AM,0.02,"Howard County,Texas",MRO,,Suspected Physical Attack - Vandalism,Unknown,Unknown
2014,11,0,2,11/24/2014,12:00:00 AM,Unknown,Unknown,N/A,"Nebraska, Kansas, Texas, Arkansas, Louisiana, New Mexico",SPP,,Fuel Supply Emergency - Coal,Unknown,Unknown
2015,1,10,3,1/27/2015,10:30:00 AM,1/27/2015,10:31:00 AM,0.02,"Kountze, Texas",SERC,Suspected Physical Attack,Sabotage,0,0
2015,2,9,2,2/2/2015,9:40:00 AM,2/2/2015,9:41:00 AM,0.02,"Conroe, Texas",TRE,Suspected Physical Attack,Sabotage,Unknown,Unknown
2015,4,21,6,4/17/2015,9:30:00 PM,4/19/2015,11:50:00 PM,50.33,"Houston, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,280982
2015,4,21,7,4/18/2015,9:00:00 PM,4/21/2015,4:00:00 AM,55,"Dallas, Fort Worth, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,89000
2015,4,19,6,4/24/2015,7:10:00 PM,4/26/2015,4:00:00 PM,44.83,"Dallas, Fort Worth, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,57000
2015,4,10,2,4/27/2015,10:30:00 AM,4/28/2015,6:45:00 PM,32.25,Louisiana and Texas,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,199000
2015,5,18,2,5/25/2015,6:00:00 PM,5/29/2015,7:15:00 AM,85.25,North Texas,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,454000
2015,5,22,2,5/25/2015,10:45:00 PM,5/28/2015,1:25:00 AM,50.67,"Fort Bend County, & Harris County ,Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,61000
2015,5,20,2,5/25/2015,8:30:00 PM,5/26/2015,6:30:00 PM,22,Texas,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,57531
2015,5,20,2,5/25/2015,8:30:00 PM,Unknown,Unknown,N/A,"Texas, Louisiana, Arkansas",SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,57351
2015,5,5,3,5/26/2015,5:30:00 AM,5/27/2015,7:00:00 PM,37.5,"Texas, Louisiana, Arkansas, Mississippi",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,78515
2015,6,15,4,6/3/2015,3:00:00 PM,6/5/2015,5:00:00 PM,50,Texas,TRE,Public appeal to reduce the use of electricity,System Operations,Unknown,Unknown
2015,7,17,6,7/3/2015,5:17:00 PM,7/3/2015,11:30:00 PM,6.22,Texas,TRE,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,350,30000
2015,7,16,5,7/16/2015,4:45:00 PM,7/16/2015,5:48:00 PM,1.05,Texas,SPP,Load shedding of 100 Megawatts or more implemented under emergency operational policy,System Operations,117,17311
2015,7,9,5,7/30/2015,9:50:00 AM,7/30/2015,7:00:00 PM,9.17,Texas,TRE,Public appeal to reduce the use of electricity,System Operations,Unknown,Unknown
2015,8,19,3,8/11/2015,7:30:00 PM,8/13/2015,4:05:00 AM,32.58,Texas: Houston;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,100000
2015,8,15,5,8/13/2015,3:15:00 PM,8/13/2015,7:00:00 PM,3.75,Texas: Williamson County;,TRE,Public appeal to reduce the use of electricity,Other,Unknown,Unknown
2015,10,10,3,10/13/2015,10:25:00 AM,10/13/2015,6:00:00 PM,7.58,Texas,TRE,Public appeal to reduce the use of electricity,Other,Unknown,Unknown
2015,10,0,7,10/31/2015,12:45:00 AM,11/1/2015,4:05:00 PM,39.33,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,130252
2015,12,19,7,12/26/2015,7:30:00 PM,Unknown,Unknown,N/A,Texas,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,70000
2015,12,18,7,12/26/2015,6:00:00 PM,12/30/2015,6:00:00 AM,84,Texas: Oklahoma:,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,116800
2016,4,5,2,4/18/2016,5:05:00 AM,4/20/2016,7:55:00 AM,50.83,Texas: Harris County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,415103
2016,4,5,4,4/27/2016,5:50:00 AM,4/28/2016,1:35:00 AM,19.75,Texas: Harris County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,214864
2016,4,18,4,4/27/2016,6:00:00 PM,4/27/2016,6:05:00 PM,0.08,Texas: Rusk County,TRE,Suspected Physical Attack,Sabotage,0,0
2016,5,20,3,5/10/2016,8:45:00 PM,5/13/2016,3:00:00 AM,54.25,"Texas: Dallas County, Tarrant County, Parker County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Distribution Interruption,Unknown,85000
2016,7,2,3,7/5/2016,2:45:00 AM,7/6/2016,3:00:00 AM,24.25,"Texas: Dallas County, Tarrant County",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,52000
2016,7,17,7,7/9/2016,5:45:00 PM,7/11/2016,2:00:00 PM,44.25,Texas: Dallas County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,62000
2016,7,16,5,7/14/2016,4:30:00 PM,7/16/2016,12:00:00 AM,31.5,Arkansas: Louisiana: Mississippi: Texas,"SPP, SERC, TRE","Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,170244
2016,8,17,3,8/23/2016,5:00:00 PM,8/24/2016,12:05:00 AM,7.08,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,72200
2016,9,19,4,9/21/2016,7:44:00 PM,9/21/2016,9:17:00 PM,1.55,Texas: Lubbock County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Event,0,0
2016,10,15,2,10/3/2016,3:09:00 PM,10/4/2016,7:00:00 PM,27.85,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Public Appeal,Unknown,Unknown
2016,10,11,4,10/5/2016,11:32:00 AM,10/5/2016,7:00:00 PM,7.47,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Public Appeal,Unknown,Unknown
2016,10,9,5,10/6/2016,9:50:00 AM,10/6/2016,7:00:00 PM,9.17,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Public Appeal,Unknown,Unknown
